"session_id","run_date","language","mode","input","success","crashed","escape_detected","escape_summary","error","execution_time_ms"
"session_20260413_125526_694af758","2026-04-13","java","both","<bridge-startup>","false","true","true","No escaping references detected","Runtime Crash: Exception in thread ""main"" java.lang.NoClassDefFoundError: com/google/gson/GsonBuilder","0"
"session_20260413_125526_f96f262c","2026-04-13","java","both","<bridge-startup>","false","true","false","No escaping references detected","Runtime Crash: Exception in thread ""main"" java.lang.NoClassDefFoundError: com/google/gson/GsonBuilder","0"
"session_20260413_125527_1397191b","2026-04-13","java","both","<bridge-startup>","false","true","true","No escaping references detected","Runtime Crash: Exception in thread ""main"" java.lang.NoClassDefFoundError: com/google/gson/GsonBuilder","0"
"session_20260413_125527_b7467c06","2026-04-13","java","both","<bridge-startup>","false","true","true","No escaping references detected","Runtime Crash: Exception in thread ""main"" java.lang.NoClassDefFoundError: com/google/gson/GsonBuilder","0"
"session_20260413_125527_cfb6eec5","2026-04-13","java","both","<bridge-startup>","false","true","true","No escaping references detected","Runtime Crash: Exception in thread ""main"" java.lang.NoClassDefFoundError: com/google/gson/GsonBuilder","0"
"session_20260413_125528_86042ff2","2026-04-13","java","both","<bridge-startup>","false","true","true","No escaping references detected","Runtime Crash: Exception in thread ""main"" java.lang.NoClassDefFoundError: com/google/gson/GsonBuilder","0"
"session_20260413_125528_8b12cdf7","2026-04-13","java","both","<bridge-startup>","false","true","false","No escaping references detected","Runtime Crash: Exception in thread ""main"" java.lang.NoClassDefFoundError: com/google/gson/GsonBuilder","0"
"session_20260413_125528_fbb7515e","2026-04-13","java","both","<bridge-startup>","false","true","true","No escaping references detected","Runtime Crash: Exception in thread ""main"" java.lang.NoClassDefFoundError: com/google/gson/GsonBuilder","0"
"session_20260413_125529_768c55fe","2026-04-13","java","both","<bridge-startup>","false","true","true","No escaping references detected","Runtime Crash: Exception in thread ""main"" java.lang.NoClassDefFoundError: com/google/gson/GsonBuilder","0"
"session_20260413_125529_932514c0","2026-04-13","java","both","<bridge-startup>","false","true","true","No escaping references detected","Runtime Crash: Exception in thread ""main"" java.lang.NoClassDefFoundError: com/google/gson/GsonBuilder","0"
"session_20260413_125529_ee28355a","2026-04-13","java","both","<bridge-startup>","false","true","true","No escaping references detected","Runtime Crash: Exception in thread ""main"" java.lang.NoClassDefFoundError: com/google/gson/GsonBuilder","0"
"session_20260413_125530_6a1ddade","2026-04-13","java","both","<bridge-startup>","false","true","true","No escaping references detected","Runtime Crash: Exception in thread ""main"" java.lang.NoClassDefFoundError: com/google/gson/GsonBuilder","0"
"session_20260413_125530_f93c9beb","2026-04-13","java","both","<bridge-startup>","false","true","false","No escaping references detected","Runtime Crash: Exception in thread ""main"" java.lang.NoClassDefFoundError: com/google/gson/GsonBuilder","0"
"session_20260413_125531_377c36dd","2026-04-13","java","both","<bridge-startup>","false","true","true","No escaping references detected","Runtime Crash: Exception in thread ""main"" java.lang.NoClassDefFoundError: com/google/gson/GsonBuilder","0"
"session_20260413_125531_6cb69f96","2026-04-13","java","both","<bridge-startup>","false","true","true","No escaping references detected","Runtime Crash: Exception in thread ""main"" java.lang.NoClassDefFoundError: com/google/gson/GsonBuilder","0"
"session_20260413_125531_d79ba215","2026-04-13","java","both","<bridge-startup>","false","true","true","No escaping references detected","Runtime Crash: Exception in thread ""main"" java.lang.NoClassDefFoundError: com/google/gson/GsonBuilder","0"
"session_20260413_125532_038ce3b0","2026-04-13","java","both","<bridge-startup>","false","true","false","No escaping references detected","Runtime Crash: Exception in thread ""main"" java.lang.NoClassDefFoundError: com/google/gson/GsonBuilder","0"
"session_20260413_125532_721e752f","2026-04-13","java","both","<bridge-startup>","false","true","true","No escaping references detected","Runtime Crash: Exception in thread ""main"" java.lang.NoClassDefFoundError: com/google/gson/GsonBuilder","0"
"session_20260413_125532_f0eda8a1","2026-04-13","java","both","<bridge-startup>","false","true","true","No escaping references detected","Runtime Crash: Exception in thread ""main"" java.lang.NoClassDefFoundError: com/google/gson/GsonBuilder","0"
"session_20260413_125533_684f3b1a","2026-04-13","java","both","<bridge-startup>","false","true","false","No escaping references detected","Runtime Crash: Exception in thread ""main"" java.lang.NoClassDefFoundError: com/google/gson/GsonBuilder","0"
"session_20260413_125533_c9be434c","2026-04-13","java","both","<bridge-startup>","false","true","true","No escaping references detected","Runtime Crash: Exception in thread ""main"" java.lang.NoClassDefFoundError: com/google/gson/GsonBuilder","0"
"session_20260413_125533_f0e6716c","2026-04-13","java","both","<bridge-startup>","false","true","true","No escaping references detected","Runtime Crash: Exception in thread ""main"" java.lang.NoClassDefFoundError: com/google/gson/GsonBuilder","0"
"session_20260413_125534_59b9dd63","2026-04-13","java","both","<bridge-startup>","false","true","true","No escaping references detected","Runtime Crash: Exception in thread ""main"" java.lang.NoClassDefFoundError: com/google/gson/GsonBuilder","0"
"session_20260413_125534_be580e44","2026-04-13","java","both","<bridge-startup>","false","true","true","No escaping references detected","Runtime Crash: Exception in thread ""main"" java.lang.NoClassDefFoundError: com/google/gson/GsonBuilder","0"
"session_20260413_125535_2b051303","2026-04-13","java","both","<bridge-startup>","false","true","true","No escaping references detected","Runtime Crash: Exception in thread ""main"" java.lang.NoClassDefFoundError: com/google/gson/GsonBuilder","0"
