"session_id","run_date","language","mode","notes"
"session_20260413_125539_57d4af47","2026-04-13","java","both","bulk ingestion from Graphene-HA logs"
"session_20260413_125539_97befd34","2026-04-13","java","both","bulk ingestion from Graphene-HA logs"
"session_20260413_125539_ffdc4d8b","2026-04-13","java","both","bulk ingestion from Graphene-HA logs"
"session_20260413_125540_4424a8e4","2026-04-13","java","both","bulk ingestion from Graphene-HA logs"
"session_20260413_125540_50354557","2026-04-13","java","both","bulk ingestion from Graphene-HA logs"
"session_20260413_125540_816dbf78","2026-04-13","java","both","bulk ingestion from Graphene-HA logs"
"session_20260413_125541_b31b27b2","2026-04-13","java","both","bulk ingestion from Graphene-HA logs"
"session_20260413_125541_ef9b5642","2026-04-13","java","both","bulk ingestion from Graphene-HA logs"
"session_20260413_125542_a4ca25c5","2026-04-13","java","both","bulk ingestion from Graphene-HA logs"
"session_20260413_125542_a856c451","2026-04-13","java","both","bulk ingestion from Graphene-HA logs"
"session_20260413_125542_ee7bea51","2026-04-13","java","both","bulk ingestion from Graphene-HA logs"
"session_20260413_125543_303f0537","2026-04-13","java","both","bulk ingestion from Graphene-HA logs"
"session_20260413_125543_786d2152","2026-04-13","java","both","bulk ingestion from Graphene-HA logs"
"session_20260413_125543_b658fa5f","2026-04-13","java","both","bulk ingestion from Graphene-HA logs"
"session_20260413_125544_26baeae7","2026-04-13","java","both","bulk ingestion from Graphene-HA logs"
"session_20260413_125544_b5295c6c","2026-04-13","java","both","bulk ingestion from Graphene-HA logs"
"session_20260413_125544_c08a2fa2","2026-04-13","java","both","bulk ingestion from Graphene-HA logs"
"session_20260413_125545_21d813ba","2026-04-13","java","both","bulk ingestion from Graphene-HA logs"
"session_20260413_125545_26a7f96c","2026-04-13","java","both","bulk ingestion from Graphene-HA logs"
"session_20260413_125545_c48349bc","2026-04-13","java","both","bulk ingestion from Graphene-HA logs"
"session_20260413_125546_5ecb536a","2026-04-13","java","both","bulk ingestion from Graphene-HA logs"
"session_20260413_125546_a409d98c","2026-04-13","java","both","bulk ingestion from Graphene-HA logs"
"session_20260413_125546_c549284d","2026-04-13","java","both","bulk ingestion from Graphene-HA logs"
"session_20260413_125547_b3de5e1b","2026-04-13","java","both","bulk ingestion from Graphene-HA logs"
"session_20260413_125547_eca3cfae","2026-04-13","java","both","bulk ingestion from Graphene-HA logs"
